City,State,Specialty,Hospital Name
Travis AFB,CA 94535-1801,,"60th Medical Group, Travis AFB"
Joint Base Elmendorf-Richardson,AK 99506-3700,,673d Medical Group - Joint Base Elmendorf-Richardson
Keesler AFB,MS 39534,,81st Medical Group - Keesler AFB
Eglin AFB,FL 32542-1302,,"96th Medical Group, Eglin AFB"
Nellis AFB,NV 89191,,99th Medical Group Nellis Air Force Base
Kittanning,PA 16201-7111,,ACMH Hospital
,,,AHMC Anaheim Regional Medical Center
,,,AHMC Seton Medical Center
,,,AHN Grove City
,,,AHN Wexford Hospital
,,,"AHS Southcrest Hospital, LLC dba Hillcrest Hospital South"
,,,Abbeville General Hospital
,,,Abbott-Northwestern Hospital Program
,,,Abrazo Arrowhead Campus
,,,Abrazo Central Campus
,,,Abrazo Scottsdale Campus
,,,Abrazo West Campus
,,,Acadian Medical Center
,,,Addison Gilbert Hospital
,,,Adena Regional Medical Center
,,,Adirondack Medical Center - Saranac Lake
,,,AdventHealth Altamonte Springs
,,,AdventHealth Apopka
,,,AdventHealth Avista
,,,AdventHealth Carrollwood
,,,AdventHealth Castle Rock
,,,AdventHealth Celebration
,,,AdventHealth Central Texas
,,,AdventHealth Dade City
,,,AdventHealth Daytona Beach
,,,AdventHealth DeLand
,,,AdventHealth East Orlando
,,,AdventHealth Fish Memorial
,,,AdventHealth Gordon
,,,AdventHealth Heart of Florida
,,,AdventHealth Hendersonville
,,,AdventHealth Kissimmee
,,,AdventHealth Lake Placid
,,,AdventHealth Lake Wales
,,,AdventHealth Littleton
,,,AdventHealth Manchester
,,,AdventHealth New Smyrna Beach
,,,AdventHealth North Pinellas
,,,AdventHealth Ocala
,,,AdventHealth Orlando
,,,AdventHealth Ottawa
,,,AdventHealth Palm Coast
,,,AdventHealth Parker
,,,AdventHealth Porter Hospital
,,,AdventHealth Redmond
,,,AdventHealth Sebring
,,,AdventHealth Shawnee Mission
,,,AdventHealth Tampa
,,,AdventHealth Waterman
,,,AdventHealth Wesley Chapel
,,,AdventHealth Winter Garden
,,,AdventHealth Winter Park
,,,AdventHealth Zephyrhills
,,,Adventist Health - Bakersfield
,,,Adventist Health - Delano
,,,Adventist Health Castle
,,,Adventist Health Glendale
,,,Adventist Health Hanford
,,,Adventist Health Lodi Memorial
,,,Adventist Health Portland
,,,Adventist Health Selma
,,,Adventist Health Sierra Vista
,,,Adventist Health Simi Valley
,,,Adventist Health Sonora
,,,Adventist Health St. Helena
,,,Adventist Health Tulare
,,,Adventist Health Twin Cities
,,,Adventist Health Ukiah Valley
,,,Adventist Health White Memorial
,,,Adventist Health White Memorial - Montebello
,,,Adventist Health and Rideout
,,,Adventist HealthCare Fort Washington Medical Center
,,,Adventist HealthCare Shady Grove Medical Center
,,,Adventist HealthCare White Oak Medical Center
,,,AdventistHealth Columbia Gorge
,,,Advocate Christ Medical Center
,,,Advocate Condell Medical Center
,,,Advocate Good Samaritan Hospital
,,,Advocate Good Shepherd Hospital
,,,Advocate Illinois Masonic Medical Center
,,,Advocate Lutheran General Hospital
,,,Advocate Sherman Hospital
,,,Advocate South Suburban Hospital
,,,Advocate Trinity Hospital
,,,Aiken Regional Medical Centers
,,,Alamance Regional Medical Center
,,,Alameda Hospital
,,,Alaska Regional Hospital
,,,Albany Medical Center
,,,Alexander T. Augusta Military Medical Center (formerly Fort Belvoir Community Hospital)
,,,Alhambra Hospital Medical Center
,,,Allegheny General Hospital
,,,Allegheny Valley Hospital
,,,Allen Hospital
,,,Alliance Community Hospital
,,,AllianceHealth Durant
,,,Allina Health Faribault Medical Center
,,,Alomere Health
,,,Alta Bates Summit Medical Center
,,,Alta Bates Summit Medical Center - Alta Bates Campus
,,,Charlton Memorial Hospital
,,,Altru Health System
,,,AnMed Medical Center
,,,Anaheim Global Medical Center
,,,Andalusia Health
,,,Anderson Hospital
,,,Anna Jaques Hospital
,,,Annie Penn Hospital
,,,Antelope Valley Medical Center
,,,Arkansas Methodist Medical Center
,,,Arnot Ogden Medical Center
,,,Arroyo Grande Community Hospital
,,,Asante Ashland Community Hospital
,,,Asante Rogue Regional Medical Center
,,,Asante Three Rivers Medical Center
,,,Ascension Alexian Brothers
,,,Ascension All Saints Hospital
,,,Ascension Borgess Hospital
,,,Ascension Columbia St Mary's Hospital Milwaukee
,,,Ascension Genesys Hospital
,,,"Ascension Macomb-Oakland Hospital, Madison Heights Campus"
,,,"Ascension Macomb-Oakland Hospital, Warren Campus"
,,,Ascension Mercy
,,,Ascension NE Wisconsin - Mercy Campus
,,,Ascension NE Wisconsin - St Elizabeth Campus
,,,Ascension Providence
,,,"Ascension Providence Hospital, Novi Campus"
,,,"Ascension Providence Hospital, Southfield Campus"
,,,Ascension Providence Rochester Hospital
,,,Ascension Resurrection
,,,Ascension SE Wisconsin Hospital - Elmbrook Campus
,,,Ascension SE Wisconsin Hospital - Franklin Campus
,,,Ascension SE Wisconsin Hospital - St. Joseph Campus
,,,Ascension Sacred Heart Hospital Bay
,,,Ascension Sacred Heart Pensacola
,,,Ascension Saint Agnes Hospital
,,,Ascension Saint Alexius
,,,Ascension St. Francis Hospital
,,,Ascension Saint Joseph - Joliet
